ubigeo,anio,foncomun_soles
050704,2015,550097.0
050705,2015,791839.0
050706,2015,498410.0
050707,2015,369600.0
050708,2015,609057.0
050802,2015,369600.0
050803,2015,369600.0
050804,2015,369600.0
050805,2015,369600.0
050806,2015,369600.0
050807,2015,369600.0
050801,2015,428032.0
050808,2015,369600.0
050809,2015,369600.0
050810,2015,369600.0
050902,2015,369600.0
050903,2015,369600.0
050904,2015,369600.0
050905,2015,369600.0
050906,2015,369600.0
050907,2015,369600.0
050901,2015,582259.0
050908,2015,369600.0
050909,2015,376631.0
050910,2015,369600.0
050911,2015,369600.0
051002,2015,418686.0
051003,2015,369600.0
051004,2015,369600.0
051005,2015,644129.0
051006,2015,369600.0
051007,2015,369600.0
051008,2015,369600.0
051001,2015,1113023.0
051009,2015,552841.0
051010,2015,494031.0
051011,2015,479701.0
051012,2015,720854.0
051102,2015,369600.0
051103,2015,369600.0
051104,2015,887547.0
051105,2015,624724.0
051106,2015,463346.0
051107,2015,402245.0
051101,2015,1544349.0
051108,2015,1220123.0
060202,2015,6536060.0
060201,2015,4579346.0
060203,2015,3421319.0
060204,2015,2439070.0
060102,2015,2738863.0
060101,2015,13934960.0
060104,2015,2318881.0
060103,2015,1196866.0
060105,2015,4951890.0
060106,2015,2947773.0
060108,2015,6638122.0
060107,2015,1357493.0
060109,2015,2035225.0
060110,2015,1029717.0
060111,2015,2227124.0
060112,2015,1350529.0
060301,2015,5322403.0
060303,2015,2075787.0
060302,2015,911802.0
060304,2015,3200597.0
060305,2015,369600.0
060306,2015,677451.0
060312,2015,2139531.0
060307,2015,1360153.0
060308,2015,1708343.0
060309,2015,2252724.0
060310,2015,1450083.0
060311,2015,484537.0
060501,2015,1649227.0
060503,2015,429285.0
060502,2015,484383.0
060504,2015,745982.0
060505,2015,937548.0
060506,2015,369600.0
060507,2015,621295.0
060508,2015,1320128.0
060602,2015,2927429.0
060604,2015,1052092.0
060601,2015,9319010.0
060603,2015,1205510.0
060605,2015,1330158.0
060606,2015,1740885.0
060607,2015,4721802.0
060608,2015,1424685.0
060609,2015,685815.0
060610,2015,1189917.0
060611,2015,1063492.0
060612,2015,1553984.0
060613,2015,2252536.0
060614,2015,2716030.0
060615,2015,527264.0
060402,2015,1138322.0
060407,2015,1534237.0
060408,2015,1751573.0
060403,2015,1060655.0
060419,2015,2652276.0
060404,2015,1250050.0
060405,2015,1009563.0
060406,2015,825372.0
060401,2015,9758085.0
060409,2015,2346431.0
060410,2015,2755488.0
060411,2015,2126681.0
060412,2015,1220286.0
060413,2015,1268293.0
060414,2015,493914.0
060415,2015,2265119.0
060416,2015,576182.0
060417,2015,4322010.0
060418,2015,495601.0
060701,2015,6832476.0
060702,2015,1916247.0
060703,2015,5087662.0
060802,2015,3207511.0
060804,2015,2676685.0
060803,2015,2500518.0
060805,2015,1830069.0
060801,2015,9533329.0
060806,2015,1083434.0
060807,2015,2528924.0
060808,2015,1655645.0
060809,2015,2258563.0
060810,2015,1675651.0
060811,2015,2100392.0
060812,2015,2624636.0
060902,2015,3537110.0
060903,2015,5349330.0
060904,2015,5337606.0
060905,2015,3237185.0
060901,2015,9485542.0
060906,2015,5889852.0
060907,2015,5928612.0
061002,2015,832037.0
061003,2015,629365.0
061004,2015,1595434.0
061005,2015,490504.0
061006,2015,1019851.0
061007,2015,3473552.0
061001,2015,2982091.0
061102,2015,422948.0
061103,2015,1241604.0
061104,2015,941339.0
061105,2015,470333.0
061106,2015,613462.0
061107,2015,1478726.0
061108,2015,547645.0
061109,2015,1065130.0
061110,2015,752016.0
061101,2015,3683448.0
061111,2015,1176209.0
061112,2015,1171015.0
061113,2015,994492.0
061202,2015,1385151.0
061203,2015,474039.0
061201,2015,1544988.0
061204,2015,1099411.0
061302,2015,464264.0
061303,2015,2743956.0
061304,2015,1098176.0
061305,2015,764133.0
061306,2015,797681.0
061307,2015,1291057.0
061301,2015,3067167.0
061308,2015,556067.0
061309,2015,369600.0
061310,2015,508373.0
061311,2015,921702.0
070102,2015,1869649.0
070101,2015,16303240.0
070103,2015,1456604.0
070104,2015,1399332.0
070105,2015,1259799.0
070106,2015,42707931.0
070107,2015,5148200.0
080201,2015,1411299.0
080202,2015,497460.0
080203,2015,504158.0
080204,2015,548706.0
080205,2015,1667606.0
080206,2015,667259.0
080207,2015,649881.0
080302,2015,1356251.0
080301,2015,2745836.0
080303,2015,428426.0
080304,2015,1012473.0
080305,2015,1109899.0
080306,2015,2004775.0
080307,2015,628672.0
080308,2015,792653.0
080309,2015,712955.0
080401,2015,3887194.0
080402,2015,916555.0
080403,2015,1234763.0
080404,2015,1601197.0
080405,2015,1999469.0
080406,2015,1256992.0
080407,2015,1145576.0
